Kafka Stream Results
Avg Write Duration,Read Duration
0.08403,290
0.09292,300
0.09313,338
0.08503,310
0.08147,342
0.08198,320
0.09471,297
0.08455,275
0.08646,280
0.08918,319
0.0844,348
0.08718,330
0.0865,299
0.13165,305
0.08356,301
0.085,328
0.08948,296
0.08562,328
0.0833,311
0.08563,319
0.08634,298
0.08318,305
0.08346,299
0.08556,295
0.08037,298
0.08696,271
0.08468,301
0.08831,290
0.0808,314
0.09558,286
0.08088,316
0.08503,292
0.08374,312
0.08826,342
0.08356,285
0.0895,299
0.08408,319
0.08465,288
0.07993,322
0.09212,295
0.08309,299
0.09134,288
0.08335,283
0.0814,302
0.08792,297
0.09835,292
0.08716,305
0.08286,278
0.08446,308
0.09202,301
0.08529,303
0.08562,293
0.08689,324
0.08277,290
0.08686,299
0.08135,312
0.08093,294
0.09062,310
0.08843,295
0.08165,301
0.08912,284
0.08402,289
0.08286,340
0.08108,279
0.08695,293
0.08238,291
0.07941,292
0.08317,278
0.08273,276
0.08315,318
0.08541,295
0.10114,324
0.08786,314
0.0804,327
0.085,299
0.0852,301
0.08794,350
0.08167,277
0.08526,292
0.08144,304
0.09186,308
0.08667,277
0.08122,270
0.08519,271
0.08574,299
0.08305,288
0.08692,295
0.08528,297
0.0827,316
0.082,311
0.08603,321
0.08593,315
0.0836,275
0.08402,289
0.08589,289
0.09283,359
0.08444,323
0.08172,329
0.08161,286
0.08322,269
