MongoDB Results,
Avg Write Duration,Read Duration
1.96218,1780
1.89432,1617
1.87375,1799
1.91447,1685
1.92531,1586
1.85883,1714
1.84625,1692
1.94413,1636
1.94954,1922
2.00929,1732
2.00502,1678
2.03257,1618
2.24966,1839
2.02289,1830
1.92196,1714
2.00853,1723
2.05899,1694
2.07233,1726
2.02107,2330
2.01919,1764
1.96593,1735
1.97476,1718
1.97915,1799
1.99388,1799
1.98282,1655
2.02419,1777
2.03087,1724
1.97817,1679
2.01325,1715
2.01373,1849
1.94591,1656
1.97298,1690
2.11547,1845
2.05703,1742
1.99824,1666
1.98698,1695
1.97987,1713
2.01916,1732
1.93528,1811
1.97192,1776
2.09242,1750
2.10864,1726
1.98755,1732
2.01841,1742
1.97165,1708
2.00534,1655
1.97668,1662
1.98093,1808
2.00479,1838
2.02625,1634
1.97865,1762
2.00784,1663
2.02433,1653
1.95102,1654
1.95824,1663
2.01111,1713
1.98595,1613
1.95648,1642
2.00451,1716
2.04704,1819
1.92161,1778
2.01005,1760
2.08627,1874
2.03862,1676
1.97447,1755
2.03726,1685
2.03689,1839
1.94279,1756
2.03413,1698
2.13856,2023
2.00284,1812
2.05985,1829
2.0081,1716
2.05281,1787
2.10725,1843
2.01397,1738
2.065,1793
2.0075,1803
2.12812,1795
2.15056,1800
2.07222,1769
2.1161,1795
2.05203,1734
2.05455,1865
2.05633,1727
2.06479,1965
2.11717,1757
2.1076,1750
2.13129,1726
2.09873,1751
2.02987,1710
2.06569,1930
2.12403,1744
2.04932,1730
2.09073,1892
2.1105,1805
2.07455,1757
2.0539,1694
2.06561,1869
2.1297,1756
